,business_id,attributes
45,wghnIlMb_i5U46HMBGx9ig,WiFi
45,wghnIlMb_i5U46HMBGx9ig,BusinessParking
45,wghnIlMb_i5U46HMBGx9ig,HasTV
45,wghnIlMb_i5U46HMBGx9ig,Alcohol
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsDelivery
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsPriceRange2
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsAttire
45,wghnIlMb_i5U46HMBGx9ig,OutdoorSeating
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsReservations
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsGoodForGroups
45,wghnIlMb_i5U46HMBGx9ig,NoiseLevel
45,wghnIlMb_i5U46HMBGx9ig,RestaurantsTakeOut
45,wghnIlMb_i5U46HMBGx9ig,Caters
45,wghnIlMb_i5U46HMBGx9ig,Ambience
45,wghnIlMb_i5U46HMBGx9ig,BusinessAcceptsCreditCards
45,wghnIlMb_i5U46HMBGx9ig,GoodForKids
76,-4dYswJy7SPcbcERvitmIg,RestaurantsPriceRange2
76,-4dYswJy7SPcbcERvitmIg,BusinessParking
76,-4dYswJy7SPcbcERvitmIg,BusinessAcceptsCreditCards
76,-4dYswJy7SPcbcERvitmIg,BikeParking
86,sE6jSnvMts_MAn-b4OkMAw,
91,nUqrF-h9S7myCcvNDecOvw,BusinessAcceptsCreditCards
91,nUqrF-h9S7myCcvNDecOvw,WiFi
114,4dVrWc4Nhuw9apfk9BWEcA,RestaurantsTakeOut
114,4dVrWc4Nhuw9apfk9BWEcA,BikeParking
114,4dVrWc4Nhuw9apfk9BWEcA,BusinessAcceptsCreditCards
114,4dVrWc4Nhuw9apfk9BWEcA,BusinessParking
114,4dVrWc4Nhuw9apfk9BWEcA,Caters
114,4dVrWc4Nhuw9apfk9BWEcA,RestaurantsDelivery
114,4dVrWc4Nhuw9apfk9BWEcA,RestaurantsPriceRange2
132,9C2rpb56aQvW0ViZHK9sPw,RestaurantsGoodForGroups
132,9C2rpb56aQvW0ViZHK9sPw,Alcohol
132,9C2rpb56aQvW0ViZHK9sPw,RestaurantsReservations
132,9C2rpb56aQvW0ViZHK9sPw,NoiseLevel
132,9C2rpb56aQvW0ViZHK9sPw,GoodForKids
132,9C2rpb56aQvW0ViZHK9sPw,BusinessAcceptsCreditCards
132,9C2rpb56aQvW0ViZHK9sPw,RestaurantsDelivery
132,9C2rpb56aQvW0ViZHK9sPw,WiFi
132,9C2rpb56aQvW0ViZHK9sPw,RestaurantsPriceRange2
132,9C2rpb56aQvW0ViZHK9sPw,Caters
132,9C2rpb56aQvW0ViZHK9sPw,BikeParking
132,9C2rpb56aQvW0ViZHK9sPw,HappyHour
132,9C2rpb56aQvW0ViZHK9sPw,RestaurantsAttire
132,9C2rpb56aQvW0ViZHK9sPw,HasTV
132,9C2rpb56aQvW0ViZHK9sPw,OutdoorSeating
132,9C2rpb56aQvW0ViZHK9sPw,Ambience
132,9C2rpb56aQvW0ViZHK9sPw,BusinessParking
132,9C2rpb56aQvW0ViZHK9sPw,BestNights
132,9C2rpb56aQvW0ViZHK9sPw,Music
166,2oxrOO3c9_mQmqM9kwEm9Q,BusinessAcceptsCreditCards
166,2oxrOO3c9_mQmqM9kwEm9Q,WiFi
166,2oxrOO3c9_mQmqM9kwEm9Q,AcceptsInsurance
170,QZU7TcrztBb3tXaPbVCkXg,RestaurantsPriceRange2
170,QZU7TcrztBb3tXaPbVCkXg,BusinessAcceptsCreditCards
170,QZU7TcrztBb3tXaPbVCkXg,ByAppointmentOnly
170,QZU7TcrztBb3tXaPbVCkXg,BusinessParking
170,QZU7TcrztBb3tXaPbVCkXg,BusinessAcceptsBitcoin
170,QZU7TcrztBb3tXaPbVCkXg,WiFi
170,QZU7TcrztBb3tXaPbVCkXg,BikeParking
170,QZU7TcrztBb3tXaPbVCkXg,WheelchairAccessible
183,jkY8aotwcAlSHCgoZrF49w,RestaurantsPriceRange2
223,QU-X2Pijwd4SitfYXoZWMQ,
311,kR4tXc1fLeR2QNu8cMZrEg,ByAppointmentOnly
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsGoodForGroups
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsTakeOut
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsAttire
325,TEP-73fGvgSUmtQFaOTA_g,OutdoorSeating
325,TEP-73fGvgSUmtQFaOTA_g,RestaurantsDelivery
