,business_id,hours
45,wghnIlMb_i5U46HMBGx9ig,"{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}"
76,-4dYswJy7SPcbcERvitmIg,"{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-1:0'}"
86,sE6jSnvMts_MAn-b4OkMAw,"{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0', 'Saturday': '8:0-14:0'}"
91,nUqrF-h9S7myCcvNDecOvw,"{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
114,4dVrWc4Nhuw9apfk9BWEcA,"{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
132,9C2rpb56aQvW0ViZHK9sPw,"{'Monday': '10:0-2:0', 'Tuesday': '10:0-2:0', 'Wednesday': '10:0-2:0', 'Thursday': '10:0-2:0', 'Friday': '10:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-2:0'}"
166,2oxrOO3c9_mQmqM9kwEm9Q,"{'Monday': '8:0-20:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}"
170,QZU7TcrztBb3tXaPbVCkXg,"{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-18:0'}"
183,jkY8aotwcAlSHCgoZrF49w,
223,QU-X2Pijwd4SitfYXoZWMQ,"{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0'}"
311,kR4tXc1fLeR2QNu8cMZrEg,"{'Monday': '9:0-19:30', 'Tuesday': '9:0-17:30', 'Wednesday': '9:0-17:30', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
325,TEP-73fGvgSUmtQFaOTA_g,
337,SGigkw0zqh4TTXferq3XGA,"{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0'}"
361,aNXw3PkXVt8ANwLyCfcmpg,"{'Monday': '6:0-23:0', 'Tuesday': '6:0-23:0', 'Wednesday': '6:0-23:0', 'Thursday': '6:0-23:0', 'Friday': '6:0-0:0', 'Saturday': '6:0-0:0', 'Sunday': '6:0-23:0'}"
379,nIn0fMn-SEjLdJ44SG4CKw,"{'Monday': '0:0-0:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0'}"
418,L2TIgbnlsqRtqDU3FuW7lw,
425,Vk3Up8OlB8h2ygVlvm8tBQ,"{'Monday': '9:0-16:0', 'Tuesday': '9:0-16:0', 'Wednesday': '9:0-16:0', 'Thursday': '9:0-16:0', 'Friday': '9:0-16:0'}"
463,Xj0SIY3dprQ4ZZ0lz8YmGw,"{'Monday': '0:0-0:0', 'Tuesday': '6:0-18:0', 'Wednesday': '6:0-18:0', 'Thursday': '6:0-18:0', 'Friday': '6:0-18:0', 'Saturday': '6:0-16:0', 'Sunday': '0:0-0:0'}"
464,-DXNvQLhKwunHzg8OjkwXA,"{'Monday': '7:30-18:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-18:0', 'Friday': '7:30-18:0', 'Saturday': '8:0-14:0'}"
513,NNcqCDV6PHhDmKY8fO6S9g,"{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
524,46_2e1hnQ4csLrYnhn6bkw,"{'Monday': '12:0-0:0', 'Tuesday': '12:0-0:0', 'Wednesday': '12:0-0:0', 'Thursday': '12:0-0:0', 'Friday': '12:0-0:0', 'Saturday': '10:0-0:0', 'Sunday': '10:0-0:0'}"
528,kxvOUehCtJAL2nYKkeiR-w,"{'Monday': '0:0-0:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '17:30-20:0'}"
555,bdfZdB2MTXlT6-RBjSIpQg,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
565,TapXvuOEC3qGGmlf03INnA,"{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-17:0'}"
574,PW5eZM5RAQEhy3wgovChhQ,"{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0'}"
610,IbndcMURguByburM72o3SA,"{'Tuesday': '7:0-16:0', 'Wednesday': '7:0-16:0', 'Thursday': '7:0-16:0', 'Friday': '7:0-16:0', 'Saturday': '8:0-15:0', 'Sunday': '8:0-14:30'}"
628,TJe1ZGe-X0-GjOQd00kKxA,"{'Monday': '0:0-0:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '10:0-20:0'}"
650,O0YHVrUtxbsEhQ4qaWkVaw,
682,j2oZyu8a5qa-LL-LZ5DBPw,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-20:0', 'Saturday': '9:0-16:0'}"
736,S2LinHvVEXAm2jv84_kXLw,"{'Tuesday': '12:0-16:0', 'Wednesday': '12:0-16:0', 'Thursday': '12:0-16:0', 'Friday': '12:0-16:0', 'Saturday': '12:0-16:0', 'Sunday': '12:0-16:0'}"
737,XNWVT7tR7yAzCyf0VQ-ijA,"{'Monday': '16:15-19:30', 'Tuesday': '17:15-19:30', 'Wednesday': '17:15-19:30', 'Thursday': '17:15-19:30', 'Friday': '8:15-9:30', 'Saturday': '8:45-11:30', 'Sunday': '16:15-18:30'}"
