,Descripcion,IdCategoria
0,Restaurants,0
1, Chinese,1
2,Food,2
3, Grocery,3
4,Pet Groomers,4
5, Pet Sitting,5
6, Pets,6
7, Pet Services,7
8,Towing,8
9, Automotive,9
10, Body Shops,10
11,Grocery,11
12, Food,12
13, Shopping,13
14, Fashion,14
15, Drugstores,15
16, Department Stores,16
17, Discount Store,17
18, Electronics,18
19,Bars,19
20, Restaurants,20
21, Sports Bars,21
22, Nightlife,22
23,Health & Medical,23
24, Urgent Care,24
25,Beauty & Spas,25
26, Tattoo,26
27,Home & Garden,27
28, Local Services,28
29, Appliances,29
30, Appliances & Repair,30
31,Home Services,31
32, Tree Services,32
33,Radiologists,33
34, Doctors,34
35, Health & Medical,35
36,Steakhouses,36
37, Burgers,37
38, Bakeries,38
39, Desserts,39
40, Fast Food,40
41, Coffee & Tea,41
42,Carpet Cleaning,42
43, Home Services,43
44, Home Cleaning,44
45, Window Washing,45
46, Professional Services,46
47, Pressure Washers,47
48, Office Cleaning,48
49,Event Planning & Services,49
50, Venues & Event Spaces,50
51,Masonry/Concrete,51
52, Gardeners,52
53, Landscape Architects,53
54, Landscaping,54
55, Irrigation,55
56, Nurseries & Gardening,56
57, Home & Garden,57
58,Local Services,58
59, Shoe Repair,59
60,Automotive,60
61, Auto Repair,61
62,Home Window Tinting,62
63, Car Window Tinting,63
64, Auto Detailing,64
65, Vehicle Wraps,65
66, Auto Glass Services,66
67, Auto Parts & Supplies,67
68, Cocktail Bars,68
69, American (New),69
70, American (Traditional),70
71, Bars,71
72,Specialty Schools,72
73, Education,73
74, Gyms,74
75, Sports Clubs,75
76, Arts & Entertainment,76
77, Arcades,77
78, Event Planning & Services,78
79, Recreation Centers,79
80, Fitness & Instruction,80
81, Art Schools,81
82, Child Care & Day Care,82
83, Active Life,83
84, Bubble Tea,84
85, Vietnamese,85
86,Home Decor,86
87, Gift Shops,87
88, Flowers & Gifts,88
89, Cafes,89
90, Breakfast & Brunch,90
91,Korean,91
92, Sandwiches,92
93, Cheesesteaks,93
94,American (Traditional),94
95, Pubs,95
96, Gastropubs,96
97, Beer Bar,97
98,Italian,98
99, Pizza,99
100, Movers,100
101,Festivals,101
102, Art Galleries,102
103, Local Flavor,103
104, Community Service/Non-Profit,104
105,Fitness & Instruction,105
106, Yoga,106
107, Dance Studios,107
108,Golf,108
109,Chiropractors,109
110, Physical Therapy,110
111, Massage Therapy,111
112,Shopping,112
113, Bookstores,113
114, Books,114
115, Mags,115
116, Music & Video,116
117, Wheel & Rim Repair,117
118, Oil Change Stations,118
119, Tires,119
120,Massage,120
121, Beauty & Spas,121
122, Medical Spas,122
123,Travel Services,123
124, Financial Services,124
125, Insurance,125
126, Hotels & Travel,126
127, Swimming Pools,127
128,Car Dealers,128
129, Used Car Dealers,129
130,Breakfast & Brunch,130
131,Active Life,131
132, Playgrounds,132
133, Wine Bars,133
134, Wineries,134
135, Steakhouses,135
136,Accessories,136
137, Women's Clothing,137
138, Jewelry,138
139,Veterinarians,139
140,Hotels,140
141, Golf,141
142,Ranches,142
143, Farms,143
144,Beer,144
145, Wine & Spirits,145
146, Kombucha,146
147, Nail Salons,147
148,Chicken Wings,148
149,Auto Repair,149
150, Car Dealers,150
151, Heating & Air Conditioning/HVAC,151
152, Water Heater Installation/Repair,152
153, Plumbing,153
154, French,154
155,Scavenger Hunts,155
156, Team Building Activities,156
157, Contractors,157
158, Smog Check Stations,158
159,Landmarks & Historical Buildings,159
160, Public Services & Government,160
161,Sports Bars,161
162, Mexican,162
163, Tex-Mex,163
164,Books,164
165, Toy Stores,165
166, Comic Books,166
167, Italian,167
168, Photography Stores & Services,168
169,American (New),169
170,Sewing & Alterations,170
171, Bridal,171
172, Bespoke Clothing,172
173, Accessories,173
174,Mobile Phones,174
175, IT Services & Computer Repair,175
176, Mobile Phone Accessories,176
177, Telecommunications,177
178,Bakeries,178
179, Specialty Food,179
180, Donuts,180
181,Cocktail Bars,181
182, Seafood,182
183, Tapas/Small Plates,183
184,Cultural Center,184
185, Arts & Crafts,185
186, Supernatural Readings,186
187, Souvenir Shops,187
188, Spiritual Shop,188
189, Museums,189
190,Cinema,190
191,Vape Shops,191
192, Mediterranean,192
193,Men's Hair Salons,193
194, Hair Stylists,194
195, Hair Salons,195
196,Bagels,196
197, Delis,197
198, Caterers,198
199, Buffets,199
200, Sardinian,200
201, Gelato,201
202,Water Heater Installation/Repair,202
203, Septic Services,203
204, Cuban,204
205, Puerto Rican,205
206, Caribbean,206
207, Dominican,207
208, Latin American,208
209,Home Inspectors,209
210, Beer,210
211, Lounges,211
